Spark Command: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java -cp /opt/spark-2.3.4-bin-hadoop2.7/conf/:/opt/spark-2.3.4-bin-hadoop2.7/jars/* -Xmx1g org.apache.spark.deploy.worker.Worker --webui-port 8081 spark://ee267f3ec850:7077
========================================
2020-10-18 09:39:02 INFO  Worker:2612 - Started daemon with process name: 32437@ee267f3ec850
2020-10-18 09:39:03 INFO  SignalUtils:54 - Registered signal handler for TERM
2020-10-18 09:39:03 INFO  SignalUtils:54 - Registered signal handler for HUP
2020-10-18 09:39:03 INFO  SignalUtils:54 - Registered signal handler for INT
2020-10-18 09:39:04 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2020-10-18 09:39:04 INFO  SecurityManager:54 - Changing view acls to: root
2020-10-18 09:39:04 INFO  SecurityManager:54 - Changing modify acls to: root
2020-10-18 09:39:04 INFO  SecurityManager:54 - Changing view acls groups to: 
2020-10-18 09:39:04 INFO  SecurityManager:54 - Changing modify acls groups to: 
2020-10-18 09:39:04 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(root); groups with view permissions: Set(); users  with modify permissions: Set(root); groups with modify permissions: Set()
2020-10-18 09:39:04 INFO  Utils:54 - Successfully started service 'sparkWorker' on port 45403.
2020-10-18 09:39:05 INFO  Worker:54 - Starting Spark worker 172.18.0.2:45403 with 2 cores, 6.3 GB RAM
2020-10-18 09:39:05 INFO  Worker:54 - Running Spark version 2.3.4
2020-10-18 09:39:05 INFO  Worker:54 - Spark home: /opt/spark-2.3.4-bin-hadoop2.7
2020-10-18 09:39:05 INFO  log:192 - Logging initialized @3877ms
2020-10-18 09:39:05 INFO  Server:351 - jetty-9.3.z-SNAPSHOT, build timestamp: unknown, git hash: unknown
2020-10-18 09:39:05 INFO  Server:419 - Started @4023ms
2020-10-18 09:39:05 WARN  Utils:66 - Service 'WorkerUI' could not bind on port 8081. Attempting port 8082.
2020-10-18 09:39:05 WARN  Utils:66 - Service 'WorkerUI' could not bind on port 8082. Attempting port 8083.
